Date,Time,department_abbreviation,department_name,service_name,call_resolution,zip_code
2014-01-01T00:00:00,8:52:35,DOT,Department of Transportation,Blocked Driveways,Transfer (City),91605
2014-01-01T00:00:00,8:53:04,,,,Gave Caller Information,90248
2014-01-01T00:00:00,8:54:01,DOT,Department of Transportation,Parking Enforcement,Gave Caller Information,90018
2014-01-01T00:00:00,8:55:05,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90012
2014-01-01T00:00:00,8:57:35,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91607
2014-01-01T00:00:00,8:58:30,LAPD,Los Angeles Police Department,Official Police Garage Tow (OPG) - LAPD,Transfer (City),90012
2014-01-01T00:00:00,8:58:45,BSS,PW/Bureau of Street Services,Bureau of Street Services Complaints,Gave Caller Information,99999
2014-01-01T00:00:00,8:59:14,BSS,PW/Bureau of Street Services,Street Use Permits,Gave Caller Information,90018
2014-01-01T00:00:00,8:59:29,LAPD,Los Angeles Police Department,Recruitment and Employment Division - LAPD,Gave Caller Information,11706
2014-01-01T00:00:00,9:02:25,LAPD,Los Angeles Police Department,Internal Affairs Group - LAPD,Gave Caller Information,90004
2014-01-01T00:00:00,9:08:14,,,,Static/Ghost Call,
2014-01-01T00:00:00,9:11:11,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90037
2014-01-01T00:00:00,9:14:27,DOT,Department of Transportation,Impounded/Towed Vehicle,Transfer (City),91401
2014-01-01T00:00:00,9:14:48,BOS,PW/Bureau of Sanitation,Holiday Trash Collection,Gave Caller Information,91403
2014-01-01T00:00:00,9:14:50,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),90028
2014-01-01T00:00:00,9:17:02,ITA,Information Technology Agency,3-1-1 Radio Room,Warm Transfer (City),90046
2014-01-01T00:00:00,9:17:25,,,,Static/Ghost Call,
2014-01-01T00:00:00,9:17:33,,,,Caller Hung Up,
2014-01-01T00:00:00,9:17:49,DOT,Department of Transportation,Parking Enforcement,Transfer (City),90043
2014-01-01T00:00:00,9:18:07,BSL,PW/Bureau of Street Lighting,Report streetlight outages,Service Request Processed,90012
2014-01-01T00:00:00,9:19:26,,,,N/A,90035
2014-01-01T00:00:00,9:19:29,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),90012
2014-01-01T00:00:00,9:22:51,BOS,PW/Bureau of Sanitation,Dead Animal Collection,Transfer (City),90066
2014-01-01T00:00:00,9:25:37,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90018
2014-01-01T00:00:00,9:26:18,BSL,PW/Bureau of Street Lighting,Report streetlight outages,Service Request Processed,90015
2014-01-01T00:00:00,9:27:34,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90032
2014-01-01T00:00:00,9:27:51,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),90012
2014-01-01T00:00:00,9:29:14,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),90220
2014-01-01T00:00:00,9:29:41,ITA,Information Technology Agency,3-1-1 Radio Room,Gave Caller Information,90012
2014-01-01T00:00:00,9:30:03,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),90025
2014-01-01T00:00:00,9:30:47,BOS,PW/Bureau of Sanitation,Stormwater Services,Gave Caller Information,90066
2014-01-01T00:00:00,9:31:03,LAPD,Los Angeles Police Department,Official Police Garage Tow (OPG) - LAPD,Transfer (City),90012
2014-01-01T00:00:00,9:31:45,LADBS,Department of Building and Safety,Online Request for Permit Inspection,Service Request Processed,90002
2014-01-01T00:00:00,9:32:34,BSS,PW/Bureau of Street Services,Bureau of Street Services Complaints,Gave Caller Information,90016
2014-01-01T00:00:00,9:32:47,BSL,PW/Bureau of Street Lighting,Report streetlight outages,Service Request Processed,90016
2014-01-01T00:00:00,9:32:49,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90064
2014-01-01T00:00:00,9:32:54,DOT,Department of Transportation,Impounded/Towed Vehicle,Transfer (City),99999
2014-01-01T00:00:00,9:32:57,BSS,PW/Bureau of Street Services,Bureau of Street Services Complaints,Gave Caller Information,90043
2014-01-01T00:00:00,9:33:28,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90012
2014-01-01T00:00:00,9:33:38,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),90019
2014-01-01T00:00:00,9:34:00,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90025
2014-01-01T00:00:00,9:34:36,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90003
2014-01-01T00:00:00,9:36:08,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90029
2014-01-01T00:00:00,9:36:36,DOT,Department of Transportation,Parking Enforcement,Transfer (City),91423
2014-01-01T00:00:00,9:37:25,LADBS,Department of Building and Safety,Report a Property Violation,Service Request Processed,90012
2014-01-01T00:00:00,9:38:10,,,,Caller Hung Up,
2014-01-01T00:00:00,9:38:19,DOT,Department of Transportation,Impounded/Towed Vehicle,Transfer (City),90044
2014-01-01T00:00:00,9:41:20,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),90006
2014-01-01T00:00:00,9:44:12,BSS,PW/Bureau of Street Services,Street Pothole Information,Transfer (City),90018
2014-01-01T00:00:00,9:46:12,DOT,Department of Transportation,Parking Enforcement,Gave Caller Information,90043
2014-01-01T00:00:00,9:46:50,,,,Gave Caller Information,90015
2014-01-01T00:00:00,9:48:14,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90012
2014-01-01T00:00:00,9:49:21,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90018
2014-01-01T00:00:00,9:50:10,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90031
2014-01-01T00:00:00,9:50:52,DOT,Department of Transportation,Impounded/Towed Vehicle,Transfer (City),90010
2014-01-01T00:00:00,9:51:10,BOS,PW/Bureau of Sanitation,Replacement/Repair of Curbside Trash Containers,Gave Caller Information,90011
2014-01-01T00:00:00,9:51:28,DOT,Department of Transportation,Blocked Driveways,Transfer (City),91604
2014-01-01T00:00:00,9:52:33,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90028
2014-01-01T00:00:00,9:54:21,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),90026
2014-01-01T00:00:00,9:55:34,LADBS,Department of Building and Safety,Pumpkin and Christmas Tree Lots Permits,Transfer (City),90012
2014-01-01T00:00:00,9:56:22,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91607
2014-01-01T00:00:00,9:57:03,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90047
2014-01-01T00:00:00,9:57:45,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90063
2014-01-01T00:00:00,9:58:53,ANI,Department of Animal Services,Animal Service Centers,Transfer (City),91311
2014-01-01T00:00:00,9:59:42,DOT,Department of Transportation,Impounded/Towed Vehicle,Transfer (City),99999
2014-01-01T00:00:00,10:00:19,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,91342
2014-01-01T00:00:00,10:01:45,DOT,Department of Transportation,Parking Enforcement,Transfer (City),90027
2014-01-01T00:00:00,10:02:03,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,99999
2014-01-01T00:00:00,10:02:21,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90029
2014-01-01T00:00:00,10:04:07,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90016
2014-01-01T00:00:00,10:05:22,DOT,Department of Transportation,Parking Enforcement,Transfer (City),90012
2014-01-01T00:00:00,10:05:29,DOT,Department of Transportation,Impounded/Towed Vehicle,Transfer (City),90013
2014-01-01T00:00:00,10:05:45,DWP,Department of Water and Power,DWP Discount Rates,Transfer (City),91367
2014-01-01T00:00:00,10:06:15,BOS,PW/Bureau of Sanitation,Trash Container Services,Gave Caller Information,90016
2014-01-01T00:00:00,10:07:35,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90033
2014-01-01T00:00:00,10:07:48,BSL,PW/Bureau of Street Lighting,Report streetlight outages,Gave Caller Information,90044
2014-01-01T00:00:00,10:07:59,ANI,Department of Animal Services,Dangerous Animal,Transfer (City),90003
2014-01-01T00:00:00,10:08:42,LAPD,Los Angeles Police Department,Police Stations (Front Desk / Public Counter - 25 locations),Transfer (City),90744
2014-01-01T00:00:00,10:09:15,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,99999
2014-01-01T00:00:00,10:09:20,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90292
2014-01-01T00:00:00,10:09:23,ANI,Department of Animal Services,Animal Service Centers,Transfer (City),91604
2014-01-01T00:00:00,10:11:44,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90012
2014-01-01T00:00:00,10:12:52,DWP,Department of Water and Power,LADWP Central Operator,Transfer (City),90019
2014-01-01T00:00:00,10:12:56,LAPD,Los Angeles Police Department,Official Police Garage Tow (OPG) - LAPD,Gave Caller Information,90012
2014-01-01T00:00:00,10:14:03,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90012
2014-01-01T00:00:00,10:15:44,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90003
2014-01-01T00:00:00,10:15:52,LAPD,Los Angeles Police Department,Police Headquarters Facility - LAPD,Transfer (City),90002
2014-01-01T00:00:00,10:16:32,BOS,PW/Bureau of Sanitation,Dead Animal Collection,Transfer (City),91606
2014-01-01T00:00:00,10:17:24,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90047
2014-01-01T00:00:00,10:20:04,DOT,Department of Transportation,Parking Enforcement,Transfer (City),90037
2014-01-01T00:00:00,10:21:24,LAPD,Los Angeles Police Department,Official Police Garage Tow (OPG) - LAPD,Transfer (City),90025
2014-01-01T00:00:00,10:21:52,ITA,Information Technology Agency,3-1-1 Radio Room,N/A,90247
2014-01-01T00:00:00,10:22:10,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90016
2014-01-01T00:00:00,10:23:09,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90044
2014-01-01T00:00:00,10:23:18,LAPD,Los Angeles Police Department,Police Stations (Front Desk / Public Counter - 25 locations),Transfer (City),99999
2014-01-01T00:00:00,10:24:44,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90744
2014-01-01T00:00:00,10:25:41,BOS,PW/Bureau of Sanitation,Christmas Tree Recycling,Gave Caller Information,90034
2014-01-01T00:00:00,10:26:21,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90012
2014-01-01T00:00:00,10:27:01,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90744
2014-01-01T00:00:00,10:27:07,,,,Gave Caller Information,91202
2014-01-01T00:00:00,10:27:31,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90026
2014-01-01T00:00:00,10:28:43,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),90710
2014-01-01T00:00:00,10:30:05,DOT,Department of Transportation,Blocked Driveways,Transfer (City),90012
2014-01-01T00:00:00,10:30:27,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),90045
2014-01-01T00:00:00,10:30:27,DOT,Department of Transportation,Parking Enforcement,Transfer (City),90028
2014-01-01T00:00:00,10:30:34,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),91342
2014-01-01T00:00:00,10:31:10,DWP,Department of Water and Power,DWP Discount Rates,Transfer (City),90019
2014-01-01T00:00:00,10:32:10,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),90011
2014-01-01T00:00:00,10:32:37,RAP,Department of Recreation and Parks,Park Rangers,Gave Caller Information,90012
2014-01-01T00:00:00,10:32:44,LAPD,Los Angeles Police Department,Official Police Garage Tow (OPG) - LAPD,Transfer (City),91775
2014-01-01T00:00:00,10:33:18,,,,Caller Hung Up,
2014-01-01T00:00:00,10:35:01,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90008
2014-01-01T00:00:00,10:35:06,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90031
2014-01-01T00:00:00,10:35:45,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90012
2014-01-01T00:00:00,10:36:52,DOT,Department of Transportation,Parking Enforcement,Transfer (City),90071
2014-01-01T00:00:00,10:37:15,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90501
2014-01-01T00:00:00,10:39:13,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90008
2014-01-01T00:00:00,10:39:24,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,91042
2014-01-01T00:00:00,10:40:09,DOT,Department of Transportation,Parking Enforcement,Transfer (City),90006
2014-01-01T00:00:00,10:40:20,DOT,Department of Transportation,Impounded/Towed Vehicle,Transfer (City),99999
2014-01-01T00:00:00,10:41:54,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),90732
2014-01-01T00:00:00,10:41:57,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90063
2014-01-01T00:00:00,10:42:01,BOS,PW/Bureau of Sanitation,Christmas Tree Recycling,Gave Caller Information,90034
2014-01-01T00:00:00,10:42:09,LAPD,Los Angeles Police Department,Police Stations (Front Desk / Public Counter - 25 locations),Transfer (City),90732
2014-01-01T00:00:00,10:43:35,BSS,PW/Bureau of Street Services,Street Use Permits,Gave Caller Information,90029
2014-01-01T00:00:00,10:43:56,BSS,PW/Bureau of Street Services,Bureau of Street Services Complaints,Gave Caller Information,90043
2014-01-01T00:00:00,10:44:16,BOS,PW/Bureau of Sanitation,Holiday Trash Collection,Gave Caller Information,90043
2014-01-01T00:00:00,10:44:17,DOT,Department of Transportation,Parking Enforcement,Transfer (City),90029
2014-01-01T00:00:00,10:44:32,BOS,PW/Bureau of Sanitation,Replacement/Repair of Curbside Trash Containers,Gave Caller Information,91423
2014-01-01T00:00:00,10:45:12,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90025
2014-01-01T00:00:00,10:47:31,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90039
2014-01-01T00:00:00,10:48:54,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90012
2014-01-01T00:00:00,10:49:19,DOT,Department of Transportation,Parking Enforcement,Transfer (City),90025
2014-01-01T00:00:00,10:49:39,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90026
2014-01-01T00:00:00,10:49:41,LAPD,Los Angeles Police Department,Official Police Garage Tow (OPG) - LAPD,Transfer (City),90017
2014-01-01T00:00:00,10:50:28,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90039
2014-01-01T00:00:00,10:50:28,BSS,PW/Bureau of Street Services,Bureau of Street Services Complaints,Transfer (City),90063
2014-01-01T00:00:00,10:51:09,LADBS,Department of Building and Safety,Online Request for Permit Inspection,Service Request Processed,91401
2014-01-01T00:00:00,10:51:43,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90029
2014-01-01T00:00:00,10:53:38,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91352
2014-01-01T00:00:00,10:53:51,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90039
2014-01-01T00:00:00,10:54:21,DOT,Department of Transportation,Impounded/Towed Vehicle,Transfer (City),90033
2014-01-01T00:00:00,10:55:07,,,,Referred To County,20813
2014-01-01T00:00:00,10:55:31,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91367
2014-01-01T00:00:00,10:55:32,LAPD,Los Angeles Police Department,Official Police Garage Tow (OPG) - LAPD,Transfer (City),90013
2014-01-01T00:00:00,10:55:51,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90057
2014-01-01T00:00:00,10:56:29,,,,Referred To County,91367
2014-01-01T00:00:00,10:56:31,BOS,PW/Bureau of Sanitation,Holiday Trash Collection,Transfer (City),91606
2014-01-01T00:00:00,10:57:02,,,,Caller Hung Up,
2014-01-01T00:00:00,10:57:11,BSS,PW/Bureau of Street Services,Street Pothole Information,Transfer (City),90018
2014-01-01T00:00:00,10:57:52,BOS,PW/Bureau of Sanitation,Replacement/Repair of Curbside Trash Containers,Gave Caller Information,90026
2014-01-01T00:00:00,10:58:37,DOT,Department of Transportation,Impounded/Towed Vehicle,Transfer (City),90004
2014-01-01T00:00:00,10:59:05,,,,Static/Ghost Call,
2014-01-01T00:00:00,10:59:07,DOT,Department of Transportation,Impounded/Towed Vehicle,Transfer (City),90003
2014-01-01T00:00:00,11:01:45,BSS,PW/Bureau of Street Services,Street Use Permits,Gave Caller Information,90063
2014-01-01T00:00:00,11:01:45,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90018
2014-01-01T00:00:00,11:02:00,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91034
2014-01-01T00:00:00,11:02:06,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90291
2014-01-01T00:00:00,11:02:58,BOS,PW/Bureau of Sanitation,Holiday Trash Collection,Gave Caller Information,90012
2014-01-01T00:00:00,11:03:19,LAWA,Los Angeles World Airports,Curbside Passenger Pick-up/Drop-off - ONT,Gave Caller Information,99999
2014-01-01T00:00:00,11:04:30,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90012
2014-01-01T00:00:00,11:04:30,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90012
2014-01-01T00:00:00,11:05:26,DOT,Department of Transportation,Parking Enforcement,Gave Caller Information,90063
2014-01-01T00:00:00,11:05:41,BOS,PW/Bureau of Sanitation,Replacement/Repair of Curbside Trash Containers,Gave Caller Information,90016
2014-01-01T00:00:00,11:06:45,DOT,Department of Transportation,Impounded/Towed Vehicle,Transfer (City),90042
2014-01-01T00:00:00,11:07:00,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91040
2014-01-01T00:00:00,11:07:02,,,,Static/Ghost Call,
2014-01-01T00:00:00,11:07:16,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91325
2014-01-01T00:00:00,11:07:22,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90003
2014-01-01T00:00:00,11:08:30,,,,Caller Hung Up,90012
2014-01-01T00:00:00,11:08:50,LAPD,Los Angeles Police Department,Jail Division / City Jail Locations,Transfer (City),91604
2014-01-01T00:00:00,11:10:06,LAPD,Los Angeles Police Department,Police Stations (Front Desk / Public Counter - 25 locations),Transfer (City),90044
2014-01-01T00:00:00,11:10:17,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90047
2014-01-01T00:00:00,11:13:21,ANI,Department of Animal Services,Animal Service Centers,Transfer (City),90003
2014-01-01T00:00:00,11:13:35,,,,Referred To County,86322
2014-01-01T00:00:00,11:14:01,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90012
2014-01-01T00:00:00,11:14:33,LAPD,Los Angeles Police Department,Official Police Garage Tow (OPG) - LAPD,Transfer (City),90292
2014-01-01T00:00:00,11:14:37,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90042
2014-01-01T00:00:00,11:14:51,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Gave Caller Information,90020
2014-01-01T00:00:00,11:15:12,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Gave Caller Information,90042
2014-01-01T00:00:00,11:15:24,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91406
2014-01-01T00:00:00,11:15:55,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91310
2014-01-01T00:00:00,11:16:35,BOS,PW/Bureau of Sanitation,Holiday Trash Collection,Gave Caller Information,91436
2014-01-01T00:00:00,11:18:22,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90002
2014-01-01T00:00:00,11:19:51,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Gave Caller Information,90048
2014-01-01T00:00:00,11:21:34,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91306
2014-01-01T00:00:00,11:21:40,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Gave Caller Information,99999
2014-01-01T00:00:00,11:23:37,LAPD,Los Angeles Police Department,Jail Division / City Jail Locations,Gave Caller Information,90012
2014-01-01T00:00:00,11:24:27,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91316
2014-01-01T00:00:00,11:28:37,,,,Caller Hung Up,
2014-01-01T00:00:00,11:28:40,BSS,PW/Bureau of Street Services,Bureau of Street Services Complaints,Gave Caller Information,90043
2014-01-01T00:00:00,11:30:43,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90023
2014-01-01T00:00:00,11:32:39,BOS,PW/Bureau of Sanitation,Food Service Establishment Waste Minimization Training,Transfer (City),90305
2014-01-01T00:00:00,11:33:24,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90031
2014-01-01T00:00:00,11:36:11,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90032
2014-01-01T00:00:00,11:36:24,DWP,Department of Water and Power,DWP Discount Rates,Transfer (City),90019
2014-01-01T00:00:00,11:37:17,DWP,Department of Water and Power,LADWP Central Operator,Transfer (City),90019
2014-01-01T00:00:00,11:38:30,HCIDLA,Los Angeles Housing + Community Investment Department,Rent Stabilization Ordinance information,Gave Caller Information,90033
2014-01-01T00:00:00,11:39:06,ANI,Department of Animal Services,Animal Service Centers,Transfer (City),91367
2014-01-01T00:00:00,11:39:07,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90049
2014-01-01T00:00:00,11:40:21,BOS,PW/Bureau of Sanitation,Missed Collections/Missed Service,Transfer (City),90041
2014-01-01T00:00:00,11:42:50,DOT,Department of Transportation,Impounded/Towed Vehicle,Transfer (City),99999
2014-01-01T00:00:00,11:43:06,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,91601
2014-01-01T00:00:00,11:43:21,DWP,Department of Water and Power,LADWP Central Operator,Transfer (City),90043
